id,species,pop,origin,contrast,root.depth,emg.height,est.height,ratio,flowering,tot.germ,avg
238,vm,10,as,15,14.8,5.7,11.1,0.81,34,0.857142857,12.5
239,bh,18,s,18,17.2,10,29,,,1,13
240,vm,13,s,13,16.4,6.7,13.3,0.46,36,0.857142857,14.4
241,vm,5,as,11,13.4,4.9,11.7,0.63,59,1,14.71428571
242,vm,29,ad,3,17.7,8.8,16.3,0.57,26,1,13.71428571
243,bh,13,s,13,17.8,8.9,27.3,,,1,14.5
244,vm,9,ad,25,14.5,5.3,13.8,0.82,35,1,14
245,vm,5,as,11,12.4,5,14.5,0.56,26,0.714285714,16.6
246,bh,25,s,25,15.4,9.5,24.5,,32,1,12.5
247,vm,25,s,25,13.7,6.4,15.4,0.45,44,0.857142857,15.33333333
248,bh,18,s,18,16.7,9.9,25.9,,36,1,13.5
249,vm,6,s,6,17.4,5.6,9.7,0.71,30,0.857142857,11.66666667
250,vm,29,ad,3,22,6.2,11.5,0.64,31,1,15
251,bh,25,s,25,17,12.6,32.3,,45,1,12.5
252,vm,6,s,6,16,4.2,8.9,0.72,36,0.714285714,12.8
253,bh,6,s,6,15.9,7.5,25.6,,48,1,13
254,vm,S33,ad,S2,18.1,6.4,17.3,0.62,20,1,14.42857143
255,vm,20,as,3,11.7,4.1,9.2,0.35,41,1,13.57142857
256,vm,3,s,3,18.7,4.8,9.8,0.59,47,1,13.57142857
257,vm,10,as,15,12.3,4.6,12.6,0.52,35,1,13
258,bh,18,s,18,15.9,10,30.8,,45,1,14.5
259,vm,25,s,25,19.2,6.6,18,0.43,41,0.857142857,13.16666667
260,vm,S31,as,S2,14.9,3.8,8.5,0.35,19,1,15.14285714
261,vm,27,ad,11,12.3,7.1,16,1,18,1,15.14285714
262,vm,16,as,13,9.9,6,9,0.71,58,1,12.85714286
263,vm,S2,s,S2,17.4,5.3,12.8,0.5,33,0.857142857,13.5
264,vm,S31,as,S2,13.3,4.4,7.1,0.56,19,1,14
265,vm,S2,s,S2,18.2,7.2,15.6,0.41,36,0.714285714,14
266,vm,S33,ad,S2,9.4,4.8,11.6,0.71,32,1,15.42857143
267,bh,S2,s,S2,21.2,11,30.5,,32,1,12
268,bh,11,s,11,15.7,8.7,25,,,1,13.5
269,bh,11,s,11,21.9,8.7,26.9,,67,1,13.5
270,vm,25,s,25,13.2,6.5,19.2,0.61,44,1,13.71428571
271,vm,5,as,11,18.2,7,13.6,0.68,6,1,13
272,vm,19,as,6,20,5.7,7.3,0.4,47,1,12.28571429
273,vm,19,as,6,18.3,6.6,12.4,0.5,34,1,14.85714286
274,vm,5,as,11,14.5,4.2,10.6,0.6,11,0.857142857,14.5
275,vm,11,s,11,13.2,5.5,12.7,0.32,36,1,12.28571429
276,vm,16,as,13,12.5,3.7,8.9,0.68,59,1,13.71428571
277,vm,5,as,11,19.3,6.7,14.1,0.6,6,0.714285714,15.2
278,vm,9,ad,25,21.7,7.5,13.1,0.8,33,1,13.28571429
279,vm,6,s,6,19,7.9,15.8,0.67,37,1,12.14285714
280,vm,11,s,11,21.2,9.2,14.6,0.44,32,0.714285714,13.2
281,vm,6,s,6,16.7,5.5,12.5,0.64,35,1,12.71428571
282,vm,5,as,11,17.2,7,17.5,0.59,44,0.714285714,15
283,bh,15,s,15,17.2,9.4,26,,,1,14
284,vm,20,as,3,13.8,4.6,8.3,0.44,14,1,13.28571429
285,bh,11,s,11,12.9,8.9,26.2,,59,1,14.5
286,vm,4,ad,13,19.9,7.3,12.7,0.73,37,0.714285714,14
287,vm,25,s,25,13.3,5.7,14.3,0.55,53,1,14.14285714
288,vm,17,as,25,17.3,4.9,10,0.36,27,0.285714286,14
289,vm,20,as,3,15.3,5.6,10.4,0.3,14,0.857142857,14
290,bh,3,s,3,7.2,5.6,20.3,,67,1,13.5
291,vm,3,s,3,15.5,5.4,9.4,0.5,39,1,14.14285714
292,bh,6,s,6,20.5,10.7,27.6,,33,1,12.5
293,bh,25,s,25,15.8,10.9,28.5,,26,1,13
294,bh,3,s,3,17.5,9.6,23.7,,,0.5,14
